% Model:              3_full.mph
% Version:            COMSOL 5.6.0.401
% Date:               Feb 11 2023, 13:59
% Table:              Eigenfrequencies (Long wire) - 
% d_t_1                                           d_t_2                                             d_beam_w                                          Frequency (Hz)                                    Quality factor for eigenvalue (1)                 abs(solid.Qted) (W)
1                                                 7.000000000000006                                 9.000000000000306                                 146860.0216832973+4.0793226853199815i             18000.53991950589                                 2.8168273186040374E-15
1                                                 7.000000000000006                                 9.000000000000306                                 293745.40281776345+8.160489299545814i             17998.026345927054                                1.5091948676673255E-14
1                                                 7.000000000000006                                 9.000000000000306                                 440693.86815139855+12.236755622888802i            18006.973487608895                                4.2649535600938386E-14
1                                                 7.000000000000006                                 9.000000000000306                                 587736.3170932711+16.27933487874612i              18051.607190063514                                7.583815501106144E-14
3.0000000000000075                                3.0000000000000075                                4.999999999999948                                 146882.53228150104+4.080045813872022i             18000.108207377056                                2.825629720309629E-15
3.0000000000000075                                3.0000000000000075                                4.999999999999948                                 293794.1275900352+8.160480125157243i              18001.031991017437                                1.5123428565530897E-14
3.0000000000000075                                3.0000000000000075                                4.999999999999948                                 440768.1054621544+12.244919342188226i             17997.999543514463                                4.266847235244874E-14
3.0000000000000075                                3.0000000000000075                                4.999999999999948                                 587835.9245988379+16.486759325317344i             17827.5157961501                                  8.728524001829021E-14
2.999999999999976                                 2.999999999999976                                 7.0000000000001                                   146862.82012720712+4.079362122086558i             18000.70890153007                                 2.817145494602413E-15
2.999999999999976                                 2.999999999999976                                 7.0000000000001                                   293754.8011123663+8.162401045547652i              17994.386668405412                                1.5093785351473577E-14
2.999999999999976                                 2.999999999999976                                 7.0000000000001                                   440708.72297383245+12.236489206184466i            18007.97252986165                                 4.26309633162318E-14
2.999999999999976                                 2.999999999999976                                 7.0000000000001                                   587755.6057674447+16.891228413906497i             17398.249297355418                                8.112290717189191E-14
2.9999999999999676                                2.9999999999999676                                9.000000000000192                                 146856.71591058653+4.079184510306553i             18000.74445511544                                 2.8124812252446038E-15
2.9999999999999676                                2.9999999999999676                                9.000000000000192                                 293737.96881878044+8.159278612406453i             18000.24136767191                                 1.5075191088966198E-14
2.9999999999999676                                2.9999999999999676                                9.000000000000192                                 440682.52983340085+12.240744229521649i            18000.64283553009                                 4.2608568589692384E-14
2.9999999999999676                                2.9999999999999676                                9.000000000000192                                 587721.814185496+17.34096718892744i               16946.050580176056                                8.317175880295548E-14
3.0000000000000777                                5.000000000000128                                 5.000000000000128                                 146879.10022809898+4.07990747076496i              18000.297957805877                                2.824711852602504E-15
3.0000000000000777                                5.000000000000128                                 5.000000000000128                                 293787.8241779885+8.160852881219236i              17999.823575676175                                1.5119357395266155E-14
3.0000000000000777                                5.000000000000128                                 5.000000000000128                                 440758.81480178656+12.2429429518431i              18000.52554910584                                 4.2659798152252606E-14
3.0000000000000777                                5.000000000000128                                 5.000000000000128                                 587823.5336490469+16.339512478595086i             17987.792916682996                                8.603343012663026E-14
3.0000000000000853                                5.000000000000042                                 7.000000000000278                                 146862.6142794915+4.079567416180437i              17999.777831468138                                2.816223997998861E-15
3.0000000000000853                                5.000000000000042                                 7.000000000000278                                 293749.53646294336+8.158895756545022i             18001.794925944778                                1.5089567779446498E-14
3.0000000000000853                                5.000000000000042                                 7.000000000000278                                 440700.0107597405+12.243938913499747i             17996.659974913815                                4.262275059486221E-14
3.0000000000000853                                5.000000000000042                                 7.000000000000278                                 587744.6691035974+16.331652378833304i             17994.035614710738                                7.880318472438242E-14
2.9999999999999063                                4.999999999999832                                 8.999999999999734                                 146855.4644103632+4.078993867960218i              18001.432358589107                                2.8114639239357436E-15
2.9999999999999063                                4.999999999999832                                 8.999999999999734                                 293730.92232852423+8.158077612989851i             18002.45941892168                                 1.5070457694665485E-14
2.9999999999999063                                4.999999999999832                                 8.999999999999734                                 440671.00841282285+12.26828375519241i             17959.765897422076                                4.2597909676210786E-14
2.9999999999999063                                4.999999999999832                                 8.999999999999734                                 587703.9054825939+16.270217605825742i             18060.726651625428                                7.740435883419896E-14
3.0000000000000244                                6.999999999999963                                 5.000000000000056                                 146881.59862089565+4.079749069518236i             18001.303035806966                                2.8244952142680366E-15
3.0000000000000244                                6.999999999999963                                 5.000000000000056                                 293787.1951824996+8.160552976886937i              18000.44653925941                                 1.5119506478794368E-14
3.0000000000000244                                6.999999999999963                                 5.000000000000056                                 440756.104462996+12.238316802120377i              18007.219113114712                                4.265795967135478E-14
3.0000000000000244                                6.999999999999963                                 5.000000000000056                                 587819.0330972725+16.327787194267685i             18000.572462863536                                8.735930950446227E-14
2.999999999999948                                 6.9999999999998765                                6.9999999999998765                                146855.7794416493+4.0794597762714755i             17999.415056846585                                2.8157548524250483E-15
2.999999999999948                                 6.9999999999998765                                6.9999999999998765                                293745.5337902097+8.159634717051574i              17999.91935768479                                 1.508783657801995E-14
2.999999999999948                                 6.9999999999998765                                6.9999999999998765                                440695.29603942647+12.241766241300706i            17999.661460313797                                4.261951599203999E-14
2.999999999999948                                 6.9999999999998765                                6.9999999999998765                                587739.3771068251+16.327889188472433i             17998.02075830393                                 7.946497837984541E-14
3.0000000000000875                                7.000000000000094                                 9.000000000000027                                 146854.13447627198+4.079051945275261i             18001.013035194737                                2.8111002960795863E-15
3.0000000000000875                                7.000000000000094                                 9.000000000000027                                 293728.6723496129+8.157016895361467i              18004.662495958142                                1.5069137976290586E-14
3.0000000000000875                                7.000000000000094                                 9.000000000000027                                 440668.2800535872+12.244624538518256i             17994.356571218843                                4.259368138907994E-14
3.0000000000000875                                7.000000000000094                                 9.000000000000027                                 587701.2702547365+16.665526144457274i             17632.244705643407                                7.614895658905702E-14
4                                                 2.999999999999987                                 4.999999999999965                                 146880.1365039804+4.080079913946824i              17999.664173476507                                2.8253014705003225E-15
4                                                 2.999999999999987                                 4.999999999999965                                 293791.25100815407+8.160848288512936i             18000.043661005013                                1.512199600865825E-14
4                                                 2.999999999999987                                 4.999999999999965                                 440763.35263600806+12.24352811348768i             17999.85055575838                                 4.2664974875868084E-14
4                                                 2.999999999999987                                 4.999999999999965                                 587829.771617393+16.328054903480925i              18000.60616810103                                 8.734448049816943E-14
4                                                 3.000000000000024                                 6.9999999999999645                                146863.79323541213+4.079282992240822i             18001.17735331931                                 2.8168515367956854E-15
4                                                 3.000000000000024                                 6.9999999999999645                                293752.9821973091+8.159682478727008i              18000.270412675593                                1.5091852720740434E-14
4                                                 3.000000000000024                                 6.9999999999999645                                440705.08514582826+12.241695860369294i            18000.164771800606                                4.2627733922340167E-14
4                                                 3.000000000000024                                 6.9999999999999645                                587751.4109405077+16.3272922432093i               17999.04730635846                                 8.144117701538045E-14
