Beam length (um)                                  Beam width (nm)                                   Thickness_1 (nm)                                  Thickness_2 (nm)                                  Temperature (K)                                   Distance (nm)                                     Gate voltage (V)                                  Eigenfrequency (Hz)                               Quality factor                                    Effective mass (kg)                               Noise (kg^2/s^3)                                  TED (W)
75.45986071890192                                 507.5647961114718                                 200.0000000000883                                 46.964258775119355                                248.25648102557167                                814.0947028996603                                 29.159804454897998                                1115124.8753850143+18.36353892597656i             30362.472067072627                                1.1781544378541905E-14                            1.0418386617171381E-24                            1.1840713105317806E-11
75.45986071890192                                 507.5647961114718                                 200.0000000000883                                 46.964258775119355                                248.25648102557167                                814.0947028996603                                 29.159804454897998                                2644844.468094278+43.84066647748288i              30164.28216771333                                 1.2676808873858115E-14                            2.6762640276674376E-24                            1.3528252909263956E-11
75.45986071890192                                 507.5647961114718                                 200.0000000000883                                 46.964258775119355                                248.25648102557167                                814.0947028996603                                 29.159804454897998                                4770284.291931885+79.92236647601955i              29843.237270539674                                1.2725553801699923E-14                            4.8976403744988746E-24                            1.4398304531149137E-11
75.45986071890192                                 507.5647961114718                                 200.0000000000883                                 46.964258775119355                                248.25648102557167                                814.0947028996603                                 29.159804454897998                                7540341.64753379+128.1773268392126i               29413.7108078091                                  1.2690615236914436E-14                            7.833137560478167E-24                             1.4896604079040758E-11
25.543722452149616                                593.4290719217666                                 199.99999999994768                                22.456581024452518                                69.81757669129524                                 594.3525773007387                                 13.619452590354733                                9505155.489032757+135.38223582433227i             35104.88444495964                                 4.1456544529475786E-15                            6.633220730572505E-24                             3.861089816420384E-12
25.543722452149616                                593.4290719217666                                 199.99999999994768                                22.456581024452518                                69.81757669129524                                 594.3525773007387                                 13.619452590354733                                2.424881002125727E7+354.8553464471873i            34167.17581406315                                 4.537626281522649E-15                             1.9030480091642174E-23                            4.191911534954448E-12
25.543722452149616                                593.4290719217666                                 199.99999999994768                                22.456581024452518                                69.81757669129524                                 594.3525773007387                                 13.619452590354733                                4.5618756936183E7+694.4831800797635i              32843.67299647426                                 4.52744169008153E-15                              3.7160732375487616E-23                            4.394957304700936E-12
25.543722452149616                                593.4290719217666                                 199.99999999994768                                22.456581024452518                                69.81757669129524                                 594.3525773007387                                 13.619452590354733                                7.356172937741475E7+1176.0401935326286i           31275.176555171034                                4.512497733157098E-15                             6.272040134622473E-23                             4.571123842239016E-12
106.62684731595104                                507.0887037786543                                 149.99999999996095                                38.650821354232676                                9.013168404477124                                 564.3171866423007                                 38.27284498652104                                 1442189.340501445+23.700623664432825i             30425.134817557446                                1.4118228926587034E-14                            2.929932482047785E-26                             3.2499131457069246E-12
106.62684731595104                                507.0887037786543                                 149.99999999996095                                38.650821354232676                                9.013168404477124                                 564.3171866423007                                 38.27284498652104                                 2954872.7213188414+48.56101198742229i             30424.332199706074                                1.4262469317095866E-14                            6.064570796578328E-26                             8.314827186435112E-12
