% Model:              3_full.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 4 2023, 20:01
% Table:              Eigenfrequencies, Mesh Calibration (Long wire) - 
% d_max                                           d_t_1                                             d_t_2                                             d_beam_w                                          Frequency (Hz)                                    Quality factor for eigenvalue (1)                 abs(solid.Qted) (W)
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                146930.72025223143+4.081467421800807i             17999.741890307774                                2.843392900910985E-15
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                293892.74222168786+8.163710782078038i             17999.94818942368                                 1.5164552506680907E-14
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                440916.34303038893+12.247612394687232i            18000.09376609784                                 4.2660790732505453E-14
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                588033.6984128201+16.333623452064348i             18000.711848738352                                9.169722212290345E-14
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                735278.5216852996+20.428018563838993i             17996.814507180217                                1.690112701433808E-13
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                882686.447697473+24.515884737467925i              18002.337201978815                                2.56184163080411E-13
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                1030295.6810129712+28.920159800400857i            17812.75912933759                                 3.385826804674037E-13
19999.99999999955                                 2.9999999999999782                                2.9999999999999782                                2.9999999999999782                                1178144.7907350003-24.702381908411763i            23846.78520280291                                 3.327377410133346E-13
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 146384.66151894574+4.06620515606658i              18000.1568908239                                  2.7387313360422576E-15
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 292800.2370816498+8.13334564871518i               17999.98731935758                                 1.4774853144954444E-14
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 439272.5191057248+12.201843150402949i             18000.252654092375                                4.18240151462064E-14
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 585831.2932435051+16.27358413219112i              17999.455082690234                                9.000299612426148E-14
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 732506.3505557823+20.34719310583537i              18000.181812441366                                1.655045525905494E-13
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 879328.2028715215+24.439385600793315i             17989.981770306076                                2.510096609270458E-13
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 1026328.3669349377+28.509992108109635i            17999.450211054063                                3.313176759528914E-13
15000.000000000206                                3.000000000000026                                 3.000000000000026                                 3.000000000000026                                 1173506.5261093758+38.694681087191356i            15163.667113124715                                3.3660846609883514E-13
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 145891.83280617636+4.052491614680514i             18000.263378420623                                2.5363569286027327E-15
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 291810.1480995236+8.10586019964431i               17999.949475585177                                1.4004380200142336E-14
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 437783.93732371007+12.160663107652132i            18000.002690981397                                4.019285119301194E-14
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 583840.4886625675+16.21787088007374i              17999.911732552802                                8.702346641150576E-14
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 730007.533154035+20.2783813172255i                17999.650014813178                                1.6047986106751655E-13
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 876313.1866916441+24.342084781925585i             17999.961682457222                                2.445624662751685E-13
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 1022785.5321121978+28.334057592369955i            18048.6950867858                                  3.2244789843473594E-13
9999.999999999547                                 2.999999999999924                                 2.999999999999924                                 2.999999999999924                                 1169494.3308063704+68.20674336536929i             8573.157675493556                                 4.111749681722086E-13
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 146882.39017339866+4.080074811737858i             17999.962862302986                                2.8256326277601502E-15
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 293794.1226802907+8.16150254752637i               17998.776632700567                                1.5123502640150392E-14
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 440768.0259100549+12.24222350459763i              18001.959600905797                                4.26688771122201E-14
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 587835.7741148927+16.327129572253035i             18001.810162451122                                8.72867530362333E-14
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 735030.9870270983+20.417452231452607i             18000.066283852622                                1.2872352498684876E-13
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 882389.4027895948+24.512922134347928i             17998.453998129335                                1.7852762596614427E-13
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 1029950.1960974069+25.28748133091308i             20364.82365759249                                 2.364195923502852E-13
19999.999999999796                                3.000000000000006                                 3.000000000000006                                 4.999999999999943                                 1177757.027217611-122.72847727181295i             4798.222276518473                                 2.9731257763897045E-13
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 146336.48605253134+4.064951573147219i             17999.782213793205                                2.7202131631368284E-15
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 292701.6623032539+8.129485403133822i              18002.47173027828                                 1.4740581136201296E-14
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 439124.2665887712+12.202911661567667i             17992.60204315673                                 4.18396737738595E-14
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 585633.3982960671+16.2644491565216i               18003.480863698394                                8.597141550297457E-14
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 732258.9363054951+20.338561715405156i             18001.73843538889                                 1.2646392260074223E-13
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 879031.3110812113+24.41936440869299i              17998.65255232191                                 1.74858262336745E-13
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 1025982.0157009071+28.54642955154234i             17970.4087659787                                  2.3141629845915687E-13
14999.999999999929                                2.9999999999999223                                2.9999999999999223                                4.999999999999797                                 1173126.7350718216+24.018309426367814i            24421.509321216712                                1.3928950906860458E-13
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 145843.1309506913+4.0511764755873525i             18000.096000454563                                2.5178705019008676E-15
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 291711.764899848+8.10292257628947i                18000.404308037738                                1.3967693568676919E-14
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 437635.8114540167+12.157250169246458i             17998.963801908372                                4.019649136936326E-14
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 583642.7343717006+16.211520587107252i             18000.863374775232                                8.338590665090193E-14
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 729760.2388919967+20.272940146875925i             17998.381922034125                                1.2303043819486477E-13
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 876016.4376394135+24.32418555330912i              18007.107282575063                                1.7036918477672316E-13
10000.00000000041                                 3.0000000000001172                                3.0000000000001172                                5.000000000000199                                 1022444.7325651575+6.867164545390245i             74444.46145182382                                 2.2516249911602347E-13
