Beam length (um)                                  Beam width (nm)                                   Thickness_1 (nm)                                  Thickness_2 (nm)                                  Temperature (K)                                   Distance (nm)                                     Gate voltage (V)                                  Pretension (Pa)                                   Eigenfrequency (Hz)                               Quality factor (1)                                Effective mass                                    Noise (kg^2 / s^3)                               TED (W)
10.666186472899863                                759.4547125869854                                 192.91116628194615                                46.49792427897085                                 19.089801182128863                                465.8226444473603                                 28.32317866239755                                 9.003566764429826E8                               6.415102308860925E7+2400.623397410659i            13361.32588680996                                 2.3626158796216644E-15                            1.0511712746993652E-22                            2.6022578876126358E-12
10.666186472899863                                759.4547125869854                                 192.91116628194615                                46.49792427897085                                 19.089801182128863                                465.8226444473603                                 28.32317866239755                                 9.003566764429826E8                               1.6011837483039114E8+6638.939975583381i           12059.03166915732                                 2.5899843126099463E-15                            3.186780910504368E-22                             2.9915337722490708E-12
10.666186472899863                                759.4547125869854                                 192.91116628194615                                46.49792427897085                                 19.089801182128863                                465.8226444473603                                 28.32317866239755                                 9.003566764429826E8                               2.909667084628352E8+12724.292499287933i           11433.512255361653                                2.5603628524487307E-15                            6.037977533541733E-22                             3.409430366330342E-12
10.666186472899863                                759.4547125869854                                 192.91116628194615                                46.49792427897085                                 19.089801182128863                                465.8226444473603                                 28.32317866239755                                 9.003566764429826E8                               3.96451977228644E8+19548.92557221195i             10139.994030981226                                8.780196592546694E-16                             3.1811449963090813E-22                            4.959457801936238E-12
105.19555224886845                                890.6961861747174                                 209.25226759492455                                37.40727498647665                                 3.716552847868662                                 314.6368351471163                                 30.30547705834249                                 5.090848680091897E8                               2569354.395333146+0.17898817427683494i            7177441.765954176                                 3.2160644243302465E-14                            2.135344273571868E-28                             7.976759418144428E-12
105.19555224886845                                890.6961861747174                                 209.25226759492455                                37.40727498647665                                 3.716552847868662                                 314.6368351471163                                 30.30547705834249                                 5.090848680091897E8                               5271427.492667045+0.4039242931446931i             6525266.717219344                                 3.251847740064967E-14                             4.872468081344748E-28                             1.103786779535627E-11
105.19555224886845                                890.6961861747174                                 209.25226759492455                                37.40727498647665                                 3.716552847868662                                 314.6368351471163                                 30.30547705834249                                 5.090848680091897E8                               8224138.945881522+0.7163319699598331i             5740452.25591625                                  3.281743706935379E-14                             8.720428425054212E-28                             1.3675329824327479E-11
105.19555224886845                                890.6961861747174                                 209.25226759492455                                37.40727498647665                                 3.716552847868662                                 314.6368351471163                                 30.30547705834249                                 5.090848680091897E8                               1.1522259804500692E7+1.1514823841560045i          5003228.865261732                                 3.291970817965419E-14                             1.4061514583316593E-27                            1.5839358106020674E-11
92.05187856096907                                 213.8869573174215                                 78.83777089161003                                 23.255634967914066                                0.01779287370481283                               266.96577754027385                                0                                                 9.811962663703737E8                               3534070.7381136324+0.014998583641082577i          1.1781348234887467E8                              2.954358449456806E-15                             1.0277026824605888E-32                            5.487392291443696E-14
92.05187856096907                                 213.8869573174215                                 78.83777089161003                                 23.255634967914066                                0.01779287370481283                               266.96577754027385                                0                                                 9.811962663703737E8                               7076054.615484633+0.030219315368715152i           1.1707834094101334E8                              2.9546023092846147E-15                            2.0707978623444545E-32                            3.219188401716971E-13
