,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
1570,1139.0486447931669,856.4573718234587,149.99999999999815,11.34184819646149,163.35551143854997,877.1938187535139,15.08983690291592,75570.64790036868,49995.65204279576,2.358111169637918e-13,2.4112589398362196e-27,7.983301408581352e-12,151433.12307955232,48667.31216162271,2.35861361008139e-13,4.833285042515775e-27,2.311838402632424e-11,227875.71687713728,47400.12692072651,2.359416244199772e-13,7.275938161225478e-27,4.4697434314505594e-11,305184.7726109223,46183.606594356635,2.36056343901763e-13,9.749711022662636e-27,6.589699132467018e-11
1571,992.7160313912094,230.8612819761079,200.00000000000125,31.10111623071116,169.2381424363767,998.2467582914896,8.882679063826876,88161.57272630812,13839.831319759622,7.979562244676205e-14,4.8168220243833975e-27,1.8778257284415337e-13,176354.48227465883,13828.604803117261,7.979911098377314e-14,9.63564735761164e-27,5.306516457226309e-13,264606.112011305,13817.1576192434,7.980006577762427e-14,1.4457755918133287e-26,1.0283866460098384e-12,352946.64479645115,13807.73831427247,7.979636985210732e-14,1.928091425720825e-26,1.6816808325875612e-12
1572,1152.5964166921635,362.5637859105889,99.99999999999686,14.217666722832869,173.40454389341542,831.1133920214598,37.21529391593942,74539.7899745316,21692.299644621926,7.19052082598746e-14,1.7763425883324672e-27,1.1088329127395985e-12,149135.5202359211,21636.691898308298,7.191265613532598e-14,3.553987967207504e-27,3.198726246302917e-12,223824.4504917659,21579.297270692485,7.191254809958084e-14,5.333761647595885e-27,6.230571478769157e-12,298655.9045265447,21521.10081747934,7.191345672561958e-14,7.117293232070719e-27,1.0153069729246572e-11
1573,721.6625839797842,203.8396419957239,99.99999999999989,28.08258215896822,4.175113654229839,546.0199535824303,12.593514081090618,198945.5724792283,12229.93939839016,2.7955681538447594e-14,2.013290146429959e-28,9.380091246478117e-14,397927.68502305646,12229.435563281784,2.7956374515240838e-14,4.027059175842732e-28,2.5325204801057184e-13,596981.301058556,12228.955073011528,2.7954929780695232e-14,6.041187393435954e-28,4.777671541597676e-13,796142.8602959686,12228.46450126927,2.7955156586339084e-14,8.056689476393657e-28,7.69186488733127e-13
1574,961.3407790800504,587.3540956526767,150.00000000000537,41.00914698094263,60.17774675274295,648.7561967224173,2.7136555779726046,134872.84061669165,34926.10343455992,1.5974957263245645e-13,2.1985894704589257e-27,1.0951889275689193e-12,269880.4792769399,34617.23495227638,1.5975614429556354e-13,4.399497040715484e-27,3.150166426232648e-12,405157.9785275901,34312.82017370684,1.5975729224796397e-13,6.604772185989662e-27,6.128817416777504e-12,540840.3686149445,34011.43468194419,1.597675299584988e-13,8.817543469419984e-27,9.989659575267888e-12
1575,394.1830539843071,734.6282646059993,199.9999999999996,33.66502836346648,46.10391153255468,672.3563355393638,31.857242295518507,329801.91186877695,42882.416147354386,9.848439148698236e-14,1.2075074729091355e-26,5.249933979459383e-12,663045.6040198955,41738.661039954335,9.858188874607613e-14,2.4300520354786775e-26,1.4160392813845448e-11,1003148.2828286461,40632.523124520885,9.872506982485747e-14,3.68195262238221e-26,2.5135765857351545e-11,1353479.1233524857,39553.505009294066,9.890667459980309e-14,4.977036640252993e-26,3.638408613585619e-11
1576,1019.0827096020116,796.1192760615877,199.9999999999835,24.9775259103602,3.404409355949407,708.880226174322,6.968397069722179,130362.25227065972,47722.36660495046,2.734459683564835e-13,1.3510189490817511e-28,9.193342187275642e-13,260943.24401115772,47677.74306510809,2.734574405709636e-13,2.7044173409917938e-28,5.390412766896275e-12,391961.3344387687,47633.01807296755,2.734863452017471e-13,4.062720975348686e-28,1.599454064909541e-11,523634.3159324198,47590.255425552095,2.7352066725196254e-13,5.427969301076898e-28,2.670874191155304e-11
1577,602.3509295657143,320.4758612439026,150.0000000000007,26.11773055046785,3.3318087556399747,428.6140878219135,28.360770689323505,227155.04923100394,19226.292405246797,5.075371319622038e-14,3.040662661438685e-28,4.025013121564253e-13,454476.4260214992,19224.07956283625,5.0753804967828726e-14,6.083553727352225e-28,1.1249399393151126e-12,682130.681276019,19221.84648191701,5.075229686024015e-14,9.130623104142604e-28,2.164849064492421e-12,910286.448432749,19218.7361836583,5.0761286473750156e-14,1.2187294636537735e-27,3.517331411338946e-12
1578,1024.5489788288064,480.336434207838,100.00000000000054,15.241875909269144,127.5655555655226,494.08160666934975,6.075861947611045,99660.46206408103,28638.38649626175,8.509333146881955e-14,1.9749516678501128e-27,1.8799378782985585e-12,199414.03089615575,28460.939909489545,8.509501906850595e-14,3.9517265887835375e-27,5.447667930589128e-12,299369.4124881258,28284.499802834678,8.509772156739059e-14,5.9327261989882076e-27,1.065632105271452e-11,399625.6757453909,28102.039215251945,8.51128694003558e-14,7.923208122305993e-27,1.7435426519508195e-11
1579,95.9980748360978,538.0361706018449,200.00000000000028,33.5223970096558,3.4035189645364827,756.7866051103922,20.82265345379712,1634070.3241538007,32153.801595441444,1.618713947578455e-14,1.6711759052052369e-26,7.190999372490829e-12,3414106.9590124674,32014.978990733256,1.6447335946535907e-14,3.547770120837874e-26,1.4724644777870122e-11,5496344.199598343,31854.22903734047,1.6790190939737673e-14,5.830664332660753e-26,2.0393311304743867e-11,8058413.442327066,31659.590376202646,1.6586988803770652e-14,8.445256634809269e-26,2.0078340571862423e-11
1580,75.19305700901904,942.7837071940296,200.00000000000017,34.00404382497076,36.47000039927673,959.0691823977992,5.039943577721722,2451841.2837892077,41995.6484070017,2.0664450815016482e-14,3.1925783611211057e-25,1.795249364529787e-11,5762586.014925202,31376.22084609356,2.2299393669779476e-14,8.105860736091957e-25,2.4054088877791692e-11,10582304.01834612,23483.538076640314,2.2844600665522483e-14,1.5253739656948142e-24,2.6182173566996994e-11,17511812.420936957,10189.522802438305,2.1155411812570077e-14,8.050658271120644e-24,2.015342497379286e-11
