d_t_1                                             d_t_2                                             d_beam_w                                          d_max                                             Frequency (Hz)                                    Quality factor                                    abs(solid.Qted) (W)
2                                                 2                                                 5.000000000000073                                 10000.000000000135                                583677.4803587261+16.253260047926098i             17955.70484437068                                 8.72414895171997E-14
2                                                 3.0000000000000204                                2                                                 20000.00000000009                                 146998.23387487893+4.0833664500504545i            17999.637758822966                                2.974539162915506E-15
2                                                 3.0000000000000204                                2                                                 20000.00000000009                                 294029.1898151586+8.1675310693997i                17999.88192985033                                 1.5739677909981393E-14
2                                                 3.0000000000000204                                2                                                 20000.00000000009                                 441121.529202704+12.252159463643967i              18001.786971172343                                4.4046567810371784E-14
2                                                 3.0000000000000204                                2                                                 20000.00000000009                                 588307.4420437723+16.327706621098987i             18015.617737874854                                9.441175750868295E-14
2                                                 3.000000000000012                                 2                                                 14999.999999999944                                146453.76474445232+4.068182178093666i             17999.902454353538                                2.862918185657895E-15
2                                                 3.000000000000012                                 2                                                 14999.999999999944                                292937.5954637669+8.137028979407921i              18000.279721572308                                1.534582916034393E-14
2                                                 3.000000000000012                                 2                                                 14999.999999999944                                439478.30700038926+12.207944798617287i            17999.684396106128                                4.3240900231822734E-14
2                                                 3.000000000000012                                 2                                                 14999.999999999944                                586105.0308466863+16.649205677260262i             17601.591397455468                                9.268264036846443E-14
2                                                 2.9999999999999543                                2                                                 9999.99999999996                                  145958.8232566863+4.054541065331037i              17999.425940549787                                2.645579937520189E-15
2                                                 2.9999999999999543                                2                                                 9999.99999999996                                  291946.71595747926+8.10967397027853i              17999.90462177837                                 1.452212020150737E-14
2                                                 2.9999999999999543                                2                                                 9999.99999999996                                  437989.32244415575+12.16569803362183i             18000.994321644568                                4.152963474733565E-14
2                                                 2.9999999999999543                                2                                                 9999.99999999996                                  584114.3681442821+16.15342545530867i              18080.201309634595                                8.964939920558116E-14
2                                                 3.0000000000000027                                3.0000000000000027                                20000.000000000236                                146936.54247359416+4.081485644049402i             18000.374776255474                                2.844027650549118E-15
2                                                 3.0000000000000027                                3.0000000000000027                                20000.000000000236                                293900.66624724184+8.163893634064314i             18000.03034219651                                 1.5167346907335164E-14
2                                                 3.0000000000000027                                3.0000000000000027                                20000.000000000236                                440927.27810407046+12.247436655344051i            18000.798473682557                                4.2667197430964434E-14
2                                                 3.0000000000000027                                3.0000000000000027                                20000.000000000236                                588047.9521400979+16.33439429944511i              18000.29867529491                                 9.171040459701588E-14
2                                                 3.000000000000054                                 3.000000000000054                                 15000.000000000193                                146388.4952467216+4.066385479228124i              17999.830069542728                                2.7392723011592615E-15
2                                                 3.000000000000054                                 3.000000000000054                                 15000.000000000193                                292807.1345787125+8.133697616736674i              17999.63241663872                                 1.4777728586793235E-14
2                                                 3.000000000000054                                 3.000000000000054                                 15000.000000000193                                439282.9111733033+12.200430707409325i             18002.76243143272                                 4.18303700370231E-14
