,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
0,75.45986071890192,507.5647961114718,200.0000000000883,46.96425877511936,248.25648102557167,814.0947028996603,29.159804454898,1115124.8753850143,25568.58296865939,1.1781544378541904e-14,1.041838661717138e-24,1.1840713105317806e-11,2644844.468094278,20922.758653818717,1.2676808873858116e-14,2.6762640276674376e-24,1.3528252909263956e-11,4770284.291931885,16693.369611166498,1.2725553801699923e-14,4.8976403744988746e-24,1.4398304531149136e-11,7540341.64753379,13215.224954124467,1.2690615236914436e-14,7.833137560478167e-24,1.4896604079040758e-11
1,25.543722452149616,593.4290719217666,199.99999999994768,22.45658102445252,69.81757669129524,594.3525773007387,13.619452590354731,9505155.489032757,22719.24349817749,4.1456544529475786e-15,6.633220730572506e-24,3.861089816420384e-12,24248810.02125727,15070.746755272992,4.537626281522649e-15,1.9030480091642174e-23,4.191911534954448e-12,45618756.936183,11236.556391470625,4.52744169008153e-15,3.7160732375487616e-23,4.394957304700936e-12,73561729.37741475,9854.550865612759,4.512497733157098e-15,6.272040134622473e-23,4.571123842239016e-12
2,106.62684731595104,507.0887037786543,149.99999999996095,38.65082135423268,9.013168404477124,564.3171866423007,38.27284498652104,1442189.340501445,30150.92070377769,1.4118228926587034e-14,2.929932482047785e-26,3.249913145706925e-12,2954872.7213188414,29867.90820315606,1.4262469317095866e-14,6.064570796578328e-26,8.314827186435112e-12,4601343.542867442,29565.145069318693,1.4389328850496378e-14,9.528376553061044e-26,1.3798022296432944e-11,6433479.495478389,29234.75326577683,1.4437532859251234e-14,1.336842690906466e-25,1.6271093079150383e-11
3,371.7556566570935,861.4861399635114,150.00000000006085,17.823649076744573,35.84529499517523,583.0829728396344,6.620352653322839,346903.59844648617,50052.21198102095,7.810252141206511e-14,7.508355518624713e-27,8.524184485579583e-12,699578.9488873201,48491.11126488058,7.826943382135339e-14,1.517453298589976e-26,2.2213343500534696e-11,1063606.8807502564,46978.98894612793,7.850764774996857e-14,2.3142258711934443e-26,2.8624099643691197e-11,1444212.729000549,45496.05456018299,7.8739275655566e-14,3.15195616338078e-26,3.4516731801155805e-11
4,75.21067813577228,242.58282005323568,200.000000000056,48.52572614326464,0.2694420783578188,773.5348461193933,23.096675677462024,1975168.9294577795,14554.376337508786,6.442763251881366e-15,2.2999328951165465e-27,7.986237540852453e-13,3996219.159950953,14553.77065217755,6.4651258725124685e-15,4.6694460678709535e-27,2.2576224191953703e-12,6106861.731864179,14553.135039431409,6.493940977994879e-15,7.167471088313795e-27,4.2678675858156106e-12,8346915.706335231,14552.439910111747,6.516339740845719e-15,9.830381261718933e-27,6.624590765070657e-12
5,20.38646739232456,869.4951746847239,99.99999999999292,41.06741381808966,0.1710007587275618,763.9446971936849,0.5309737969654992,19214668.496640895,51513.65775473975,2.9773650025291857e-15,2.491836061855108e-26,8.723664406365873e-12,49705603.287335314,50915.538435941,3.274981931913968e-15,7.090799940685544e-26,9.253678543181708e-12,93442522.71226102,50823.005403951625,3.2575691585943666e-15,1.3260385085661655e-25,9.56401342016353e-12,149271128.5647755,51041.00929136182,3.239327440545652e-15,2.106641919534598e-25,9.848379281483628e-12
6,392.7487395975311,840.9650034968414,149.9999999999953,20.29738093726255,239.34057240911423,541.020173346726,18.87554514023802,161122.96832353834,45931.926754539236,7.819626507151522e-14,2.1399385017482867e-26,2.8054670336397877e-11,332443.6782059887,41927.900443943756,7.931471584388204e-14,4.4797350385091365e-26,4.165438355734846e-11,522833.0639341696,38219.137757999786,8.013291108420033e-14,7.121719816828785e-26,5.093650827661488e-11,739188.6072573763,34723.50732545566,8.034139924037754e-14,1.0103481255484768e-25,5.807714967828333e-11
7,58.29458937891204,102.25360312034866,199.99999999997257,25.71199616417061,1.123517794036319,994.048966094656,25.60045362450188,2312322.677704485,6135.145412099095,1.978638973194593e-15,1.3616070274305507e-26,3.3309954793480643e-13,4644169.231250938,6135.071091727575,1.9800037082629054e-15,2.7365976958931247e-26,9.564980197708326e-13,7014747.166010118,6134.995911118338,1.9821323705333296e-15,4.1379162707124565e-26,1.842646178140734e-12,9442655.435439827,6134.922343346622,1.9847256651041014e-15,5.577396451053337e-26,2.9539588350311734e-12
8,193.83072002890884,307.2990299200408,200.0000000000451,19.190027453000805,35.68009839017675,895.9950349757786,28.596483777149093,641481.7885028153,18390.576807286725,1.929394954100465e-14,3.5206789123986806e-26,1.1951114092333488e-12,1288252.0802632319,18343.050972813624,1.9308009378910372e-14,7.075694663380359e-26,3.405171087861584e-12,1945514.9313050231,18294.888134114313,1.933024900583549e-14,1.069831917267622e-25,6.4177209914278296e-12,2618313.338716003,18245.439377621504,1.935747309532885e-14,1.4419056949010803e-25,9.745352999745873e-12
9,35.34894186704418,911.1052102171866,199.99999999995367,49.66535735875362,0.5275471085798089,627.7212802785102,29.565036513841715,7706863.85757949,53800.22514119526,9.788707574879896e-15,3.218068976859668e-26,8.099282335921878e-12,19283824.89948554,52741.71552592522,1.0677545144880591e-14,8.785743125161521e-26,8.864031373235148e-12,35858962.49836342,51907.80416903744,1.0664754029881417e-14,1.6324786226461275e-25,9.29903934206883e-12,57414940.59778795,51678.750169200124,1.0624701251810916e-14,2.6054048483864747e-25,9.608450540853919e-12
