,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
10,865.4616551753758,304.2290477082274,200.0000000000113,29.001429444181408,4.962928339373651,888.6830697301835,2.656302843243046,153209.54079190636,18252.14320289061,9.09111312574088e-14,2.792118120145171e-28,1.246811867143624e-13,306468.4926792426,18250.3420306081,9.091144508774405e-14,5.585181919658774e-28,3.6237540862270583e-13,459828.82587000466,18248.607185819554,9.091248099559589e-14,8.380174286372328e-28,7.122088744822998e-13,613340.996419583,18246.792203496374,9.0915695429371e-14,1.1178319062494647e-27,1.1729663854130216e-12
11,390.5543461255663,512.6159569248744,99.99999999999996,39.321639481932095,4.522816398180969,403.56527520343775,32.36378512345156,392791.6075021161,30711.49616714035,4.049850069922353e-14,8.469322482950508e-28,1.1733498703621582e-12,786836.5920004277,30666.13089837999,4.0505863427578674e-14,1.696875932756071e-27,3.366784012233397e-12,1183383.9125613512,30620.575931360716,4.0513904006327895e-14,2.5525724406806403e-27,6.490550130832984e-12,1583675.6738742334,30574.640978442658,4.052755920736206e-14,3.417173076867544e-27,1.0413805757175358e-11
12,798.1482085632515,457.26637244227777,200.0000000000104,12.463687006384918,139.23587411409753,988.0835024640724,5.772633766755388,115082.8307020455,27292.995564526896,1.1713595105404825e-13,5.9307413933829324e-27,1.844740968761545e-12,230389.70008668728,27151.60675380518,1.171494327493203e-13,1.1874262406505404e-26,5.3042836714161776e-12,346143.61221431306,27010.951807027115,1.1716004558101346e-13,1.7841748236548643e-26,1.0091685128674146e-11,462566.53651118604,26870.911300178253,1.1718755610329336e-13,2.3848223484847595e-26,1.5850767980561355e-11
13,1065.976326838184,371.6130902990762,100.0000000000031,10.03202350810282,140.09135472589568,502.8604940976539,13.84217171929681,88202.13648801757,22240.89124868023,6.599804008220112e-14,1.77764658685701e-27,9.644660905575865e-13,176464.90008249402,22186.8270100499,6.599934999620125e-14,3.556477624603512e-27,2.823074483918805e-12,264843.8651078573,22132.292016041418,6.600225200290048e-14,5.337902589847067e-27,5.529589722182028e-12,353398.10293155455,22077.983967895834,6.600273611426242e-14,7.122733350589314e-27,9.011435027548082e-12
14,274.4426562869878,776.4356864616286,99.99999999999916,34.04599876142979,0.0217358297668395,908.80840271712,36.60561874508864,569377.1455708602,46584.51778895579,4.0616122069912885e-14,7.911490698401259e-30,4.7140923334829524e-14,1147500.1691459508,46583.29417094169,4.0696027609879046e-14,1.597573936337843e-29,2.759660439667336e-13,1742892.9988773626,45952.491521272495,4.07979133102588e-14,2.465875336708988e-29,8.276632290189917e-13,2363609.851076149,20600.98884081267,4.092528309610619e-14,7.48287482333342e-29,3.881452710307615e-14
15,875.8386877086075,219.3854846060304,200.00000000002265,18.496949272231134,3.509991249069905,841.0694790538669,16.09809275716592,145754.79318346456,13162.846885282055,6.37820269119656e-14,1.784692783153202e-28,6.440819951455971e-14,291536.7982755776,13162.574827585639,6.378381017109814e-14,3.569818992596463e-28,2.402826687006733e-13,437372.950793857,13162.307330659078,6.378417626377615e-14,5.355587603217425e-28,4.703116511875141e-13,583290.2618327457,13162.676577775941,6.378208449072646e-14,7.141748834510243e-28,7.730068008734786e-13
16,772.5225202227224,761.7190366610963,150.00000000000847,40.02278381958688,5.447790575679443,930.7321928907068,17.136390423402034,186928.1338208588,45591.41286272633,1.6490453666914274e-13,3.4002063933584123e-28,1.69892855576781e-12,374250.32826836954,45480.23208978614,1.6492059608362684e-13,6.808250694777123e-28,4.933225098464429e-12,562358.8338175754,45369.046288122,1.6494247120938072e-13,1.0231652694631494e-27,9.58251202334869e-12,751643.7976160406,45257.77166920408,1.649767935438644e-13,1.3678408493842953e-27,1.546068433260874e-11
17,698.0587664432406,367.7655069157363,99.99999999999687,32.17224065214149,3.1670012427490444,542.9700356442362,4.790922375395475,210745.70653898016,22061.028344649643,5.017616262223289e-14,1.720103353355415e-28,2.2543773963456065e-13,421613.7537608626,22057.30990379517,5.0178777177061496e-14,3.4413033390209553e-28,8.364324532862194e-13,632716.0914967235,22053.152071724315,5.017913568181902e-14,5.1643837768459085e-28,1.6367257923812992e-12,844171.2974598188,22049.10119382409,5.018197117538986e-14,6.890660822716567e-28,2.683901771195799e-12
18,364.78091818746833,684.5909828320122,99.99999999999932,24.698140453547364,196.7564011574728,496.3151451200496,7.797487555071649,237643.85501104424,38052.44738018384,4.4341586091831994e-14,2.0951455138421096e-26,8.834137846515349e-12,480814.2701510077,35387.56320374413,4.450190270163869e-14,4.2548534569330995e-26,2.466171659723745e-11,734797.3994649939,32975.543059728116,4.4692918907421393e-14,6.531193202031897e-26,3.9681565589367696e-11,1004447.5255345469,30749.4601842284,4.4851529078358e-14,8.9613384984974e-26,4.764780552282456e-11
19,1120.8203981629188,442.5712035968649,199.9999999999612,37.43069969117312,15.939087257716242,913.8921109493632,25.458056712519006,119372.79499224316,26533.396541566293,1.7675141109545713e-13,5.567581496717758e-28,2.5850899511791854e-13,238792.77866093922,26512.46188890906,1.7675763700519425e-13,1.1137741687175549e-27,7.571096490977414e-13,358308.37204250396,26491.56883128773,1.7675419551709624e-13,1.6711809320134437e-27,1.4920542494553516e-12,477967.168228648,26469.238410573915,1.7676186315247638e-13,2.2294936003175294e-27,2.459980377362158e-12
