,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),Pretension (Pa),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
13,66.02874568452495,537.8283513263599,143.0990261982795,16.9981482808662,17.232555076161667,539.7633184722458,17.718081540658936,338360662.5411596,3549029.943656728,948911.8088154228,7.876400425073541e-15,6.430406885557878e-27,4.618223578979862e-12,7335750.088846077,869512.0633529407,7.998580869739015e-15,1.4730202276749368e-26,6.3118208951509555e-12,11564032.25212658,777883.4625412807,8.085100009167414e-15,2.6236566917888205e-26,7.716169099048709e-12,16388368.664712602,695198.9044670108,8.099932303157552e-15,4.168068904101312e-26,8.819974155524862e-12
14,779.0588755923885,973.5534482782052,214.712971881802,12.666469350741991,0.3974601717830435,282.5494618212049,0.0,0.0,163992.75618071144,5332978.094632635,2.5776366706045346e-13,2.8666382883193324e-31,2.371253508545163e-13,328789.2634181204,5347071.906619036,2.578670066896816e-13,5.734475640897897e-31,1.3962105491742676e-12,495186.8984326971,5229973.307958926,2.579734758382812e-13,8.833667716496011e-31,4.16036281058296e-12,663969.7901728485,704959.1965104991,2.581426709955565e-13,8.793068760784974e-30,9.25079498482239e-12
15,13.804039047952816,437.2580721177152,98.12573208014985,47.98915400580204,0.0172999597325437,252.0231850725725,0.0,0.0,22615817.569126647,598740.8392074656,1.0509810936898032e-15,1.9904181445492346e-28,4.351900828825769e-12,56893877.55956574,598737.8652102606,1.14793221980719e-15,5.4691654672828155e-28,4.730258767222379e-12,105901370.56201644,598920.1279753388,1.1448120672929672e-15,1.0149458652327156e-27,4.952586386472466e-12,169239742.13852444,443538.20563980594,1.1390220400060537e-15,2.1791115144606985e-27,5.131566185989702e-12
16,663.3931154139499,369.0170100786078,83.86848586034112,19.729376647649858,0.2783951079264217,437.0851306374949,24.849716057434783,412545459.81940746,352457.9813533127,35711298.034932695,3.7857414643350855e-14,1.3053158700832924e-32,4.0417369868889014e-14,705005.0683823073,35696647.56093181,3.7858138392974345e-14,2.612083256585311e-32,2.2685537755966147e-13,1057733.8073110953,35669973.233850375,3.7857648221110066e-14,3.9218428428044e-32,6.576559206452498e-13,1410735.025765875,38666987.76216202,3.786020159737902e-14,4.8255962618080325e-32,1.4359050515752969e-12
17,666.3020065353861,354.1353098754972,93.43093764259076,25.84193830892045,3.24180466247364,230.0656163416923,10.060155539307798,393978457.30307454,348097.7866545939,2234855.22541823,4.1857227838485657e-14,2.629118757036265e-30,3.3102472427764473e-13,696277.1473997931,2234072.3089054334,4.1857886565977445e-14,5.2607793503525195e-30,9.216519893508057e-13,1044619.6940883419,2232733.3847106923,4.1857237805808966e-14,7.897320852489484e-30,1.7698868363470458e-12,1393207.4218287312,2234805.2545539523,4.1860944752031184e-14,1.0523809923549232e-29,2.8750496363474064e-12
18,454.2349233290232,470.1492155250255,200.26745033913645,36.72298065593637,50.7569186534938,265.08222771691453,0.0,553526595.1648492,549213.8578762448,62142.3085084828,7.572603885695412e-14,9.09236422468798e-27,9.474366356783412e-13,1098865.3893985501,61999.12845589272,7.573586092635088e-14,1.823635161386891e-26,2.725063232179396e-12,1649392.5546969385,61762.24889187583,7.572926706818696e-14,2.747528225202709e-26,5.276984777119365e-12,2201233.565765379,61455.01619107047,7.573242949580976e-14,3.685260215264429e-26,8.540343775627278e-12
19,15.807001015672968,674.6628390589001,193.92980709626755,19.79772047716237,0.5086434164131164,569.8491229710999,23.10738644374469,247173437.3154469,27475653.99039627,162742.04279847402,2.8030835060405453e-15,5.320372629286656e-26,2.579896556250131e-12,70052145.12704869,152688.6638001205,3.073441517071565e-15,1.5852484491333875e-25,2.834540644948913e-12,130720152.33646531,147614.62983583056,3.057092887867969e-15,3.043543528735327e-25,3.0638249559522505e-12,208052583.8147397,140897.1771183266,3.036343053999507e-15,5.040567078045483e-25,3.353628884391834e-12
20,40.85749354507176,943.1692021395528,107.21091125777072,42.64114942912531,106.81536703419124,436.0722651046481,36.78522555774068,790307204.5882092,8913131.524385802,651744.7618538075,7.345680335594352e-15,3.5499183195063667e-25,1.0942448709642299e-11,19651191.167949066,477609.1771218542,7.719467101231427e-15,1.1223727339826611e-24,1.3546902999638256e-11,33296001.81246792,362791.86095188046,7.786000383258969e-15,2.5251230225521096e-24,1.5216620437355516e-11,50272619.094811656,290805.9022267913,7.75876237299119e-15,4.739737778780437e-24,1.631648398020917e-11
21,141.6652512868069,900.2579521410144,193.13005762611428,14.941539837083422,14.69841870244443,576.9125443560356,28.426229648521275,275603921.2804634,1505066.6128137945,996865.62965067,3.7428400931560645e-14,2.285638739521101e-27,8.635054336260319e-12,3084571.2082316536,938062.4906878442,3.781821557920145e-14,5.029806514880336e-27,1.1989288629406264e-11,4805179.553260198,863319.7541029,3.8159496899039935e-14,8.590685070366709e-27,1.489516705034473e-11,6721271.072026125,788976.5703704346,3.8284133467061724e-14,1.3191474497209676e-26,1.7296800419284442e-11
22,105.5080044352108,206.0296116847867,152.5150086847263,23.60670071303367,0.2632241592682201,172.5344957485618,6.998723367156148,577236996.8428756,2466029.585704996,10259809.548365112,5.6957500073941474e-15,1.787755432207451e-30,5.691992986168072e-13,4938653.420196977,10189522.576511389,5.696286865257745e-15,3.605327901113116e-30,1.6348756308718146e-12,7424440.898370774,10075728.643059129,5.697955699383247e-15,5.482827261646328e-30,3.1363647876410267e-12,9929912.1298437,9979235.471883535,5.699955140173078e-15,7.406580988691047e-30,4.959612938852756e-12
