,Beam length (um),Beam width (nm),Thickness_1 (nm),Thickness_2 (nm),Temperature (K),Distance (nm),Gate voltage (V),Pretension (Pa),M1 Eigenfrequency (Hz),M1 Quality factor,M1 Effective mass (kg),M1 Noise (kg^2/s^3),M1 TED (W),M2 Eigenfrequency (Hz),M2 Quality factor,M2 Effective mass (kg),M2 Noise (kg^2/s^3),M2 TED (W),M3 Eigenfrequency (Hz),M3 Quality factor,M3 Effective mass (kg),M3 Noise (kg^2/s^3),M3 TED (W),M4 Eigenfrequency (Hz),M4 Quality factor,M4 Effective mass (kg),M4 Noise (kg^2/s^3),M4 TED (W)
506,368.3721503588761,203.32873038848237,75.4146177057986,30.92597235807673,14.631569940329893,119.236498945084,0.0,492587704.3381952,684630.3905708662,339254.5513417064,1.1721510695858875e-14,1.4085578942849756e-28,1.5050741108434854e-13,1369400.017519489,339130.571782132,1.1721624223365923e-14,2.818459538617568e-28,4.15328795703433e-13,2054445.8748434947,338920.8861116804,1.1721397700437783e-14,4.230935411486727e-28,7.937153393451672e-13,2739907.156744228,338562.97213878616,1.1722881573086188e-14,5.649257735417986e-28,1.2863194258073172e-12
508,50.5314160794772,130.8871233675495,134.00790151524032,44.576135064205786,0.1075924143667725,389.3412725569908,4.50500085612943,0.0,3000596.6903244182,6389380.020452465,1.6863834019943397e-15,1.8429231047184697e-30,3.357629258630538e-13,6041732.093007127,6389110.296835361,1.6888525673210382e-15,3.7163345732940796e-30,1.1259053970141092e-12,9162903.835464895,6388771.124693473,1.692553934443713e-15,5.648853408070169e-30,2.1539263657385327e-12,12401652.65601697,6472143.037155976,1.6965930606532225e-15,7.565038320608129e-30,3.426728920337781e-12
509,17.595472599323333,976.8496457723204,195.45173757022997,17.97271351059463,0.1375266320069356,540.1630609863885,27.86151141751581,417875496.5086454,31194425.597685955,63842.11066360361,4.517560622898497e-15,5.415043563825181e-26,3.385415539291402e-12,79611191.8130812,59758.29963843076,4.966274624104491e-15,1.623060970812519e-25,3.709858218562719e-12,147641222.46914858,57859.002865462,4.930208718691067e-15,3.086243599288777e-25,4.013675259765418e-12,232614099.14620826,56950.746546134775,4.88898937532202e-15,4.898734650756906e-25,4.332441938144465e-12
510,131.3549640987178,73.52046906529863,138.32197070532115,48.26015058263399,0.0598787361490896,577.4302119031385,34.55075327138168,714821380.9297624,2173080.722329312,76030935.07761957,2.664226733447433e-15,1.4594177642300584e-32,2.148730192135525e-14,4346520.515429476,75963288.61978562,2.6642072732465228e-15,2.92165481781608e-32,1.1876901719054477e-13,6520678.983474505,75976592.47873172,2.664104520730756e-15,4.3821494727370197e-32,3.4144515918139996e-13,8695917.509056818,106235872.05030502,2.6643532350386666e-15,4.1798331444619065e-32,7.478809041833686e-13
511,20.866489025845,676.3537291203236,202.38966048282828,25.470626553417407,0.3516947311944531,125.54362070853703,25.100263932807504,0.0,15461448.24470493,527784.9943291199,3.9294657393089866e-15,5.1349593829380815e-27,3.5831182610449e-12,40019884.79961586,525851.9784286218,4.315234132331115e-15,1.4649643620245594e-26,3.8901105207566295e-12,75613873.13985191,523118.5797202842,4.297054383989817e-15,2.7706557130813754e-26,4.135445590071898e-12,121730828.44994575,520045.59768310376,4.277530731016012e-15,4.4664519400835616e-26,4.3967620828118896e-12
512,11.569167173286504,939.4853328115736,98.01877238105408,11.55945607743381,109.03822713032032,540.3321718720572,0.0,374641819.7800747,63229904.23059343,16129.14208097836,1.4627359250349557e-15,2.5798535125385343e-22,3.4051689999287057e-12,162352137.8887912,15147.813839114631,1.6188434288428206e-15,7.806039814379739e-22,3.597672140315609e-12,297505696.1187318,14442.709821810413,1.5972505113241152e-15,1.4802582767490857e-21,3.800737572170257e-12,376450469.94492185,12248.473608929298,6.132444852674173e-16,8.479639456342177e-22,7.48809308611597e-12
513,87.45538076906537,224.9144551916529,208.67967461912448,14.201982471566394,0.3995259485651601,541.6511512737471,0.0,327012340.71443754,2429458.9461645107,10811008.188276991,6.506225289249757e-15,4.2178163020060136e-30,1.6591914169333405e-12,4877135.302062608,10677105.948844858,6.510197672402963e-15,8.578683049572802e-30,3.5948891616491605e-12,7360999.022703226,3729760.724172791,6.516903446929114e-15,3.710327717291689e-29,4.681327868785517e-12,9898475.528127555,49819.24698462095,6.521771199314642e-15,3.738108551015248e-27,5.737721408312877e-12
514,568.6383492335051,322.4780063395794,154.25647312164182,32.57175763331584,48.940500743816685,200.26668291704752,13.35863294279564,442593144.5008149,405678.2340344611,153469.18252081773,5.1288521805260916e-14,1.133235318950006e-27,3.327477285691656e-13,811468.8226579796,153369.76292944935,5.1289637172778295e-14,2.2683032287616035e-27,9.32976593365199e-13,1217484.5780398385,153207.24040961615,5.128906706232603e-14,3.4068135813768055e-27,1.7977772931494389e-12,1623838.5504520335,152904.20874064064,5.1291585785720393e-14,4.55311821295669e-27,2.924334195339015e-12
515,196.41858721950004,114.02757750301856,146.57188460182456,35.131579271678746,6.182658937102248,107.3715685760058,2.449738269022707,588145128.0748721,1331348.5801217065,1088916.0555423624,6.0738920861529236e-15,6.572307086721326e-29,1.0486669054169897e-13,2662993.131097536,1088270.2960029144,6.0739420290696055e-15,1.3153984054151384e-28,2.9091831996350614e-13,3995231.053528636,1087215.5328872183,6.073793280918703e-15,1.9753299864828535e-28,5.578091699569061e-13,5328360.359892211,1085650.7588264437,6.0744215429353415e-15,2.6385284005542197e-28,9.06214364679256e-13
516,50.81294540615351,194.3483318828406,192.76278421837105,11.99164584528662,40.4296374536461,232.52511050290087,1.261105930077039,0.0,2507536.475037685,72288.78157097244,2.853828740481555e-15,8.560490367679038e-26,2.5794048099014376e-12,5143105.982119293,72254.3371560575,2.884457499328996e-15,1.7754975528568927e-25,4.189980411814248e-12,8021260.642594498,72198.91742225105,2.910472915150712e-15,2.796210654962144e-25,5.193854189662775e-12,11235395.407420525,72116.51424162937,2.9197760050158737e-15,3.933666622081079e-25,6.022346954648661e-12
517,24.38438849573001,662.8592555684796,115.0060297452044,45.37932873288291,0.1990838939567456,429.0364353526511,11.464064468625486,437184277.973995,14381808.479151241,2695351.140171103,3.2062649862881894e-15,3.163393549433086e-28,6.084996686591329e-12,33244802.156063143,2336805.487505219,3.4285669727527536e-15,9.019230559695014e-28,7.130527803578888e-12,58612913.310436316,2115771.3371714163,3.444085164343841e-15,1.7642256161369478e-27,7.742389134925819e-12,90897790.02755402,1989804.9031584607,3.425849048867879e-15,2.8937880144694957e-27,8.151110838410463e-12
518,333.9635698156026,897.4574611176192,127.47086655878546,46.80040033942384,0.1726047355059036,525.8892286711256,1.6282119508229749,0.0,469715.2924918977,3969838.152211391,7.440583140410544e-14,7.524309714451971e-31,6.208075870217647e-13,945725.4980901525,3969790.588038157,7.451884884827219e-14,1.5172649637342548e-30,3.639614374322665e-12,1434163.1189064768,3969684.399308332,7.46894416690021e-14,2.3062138375738537e-30,1.0902206790163716e-11,1940857.7234360273,3956473.25614516,7.487947338488957e-14,3.1393955505297277e-30,2.449971949040013e-11
519,88.49211197759195,601.5329169849128,201.00549169213247,19.76175675603177,19.1581358587551,388.5114904661221,35.85010336477035,862988590.2507052,3527452.1691929647,1657088.2699657364,1.6932032400989882e-14,4.869809624457621e-27,3.615975484836803e-12,7142298.439252726,1517383.6561836773,1.699859145350209e-14,1.0810429019552766e-26,5.138552308499966e-12,10927299.497079693,1337698.5368727455,1.70811112671307e-14,1.8852029834121422e-26,6.550992079604017e-12,14956972.51924392,1157029.391568562,1.7144005551200047e-14,2.994325476004406e-26,7.823691163482808e-12
520,186.44434353193884,465.4324661706858,129.89974301023452,15.661147900212988,96.92904737216398,312.91854373497773,28.63897595562447,818806630.352609,1536675.115780548,62141.23246086696,1.8827234452087485e-14,7.169477752512306e-26,4.3925993858512494e-12,3078997.3345191344,60979.68200387241,1.883113058413365e-14,1.4641964418863943e-25,6.404084252897103e-12,4632579.253353701,59153.27029357928,1.8838076671826944e-14,2.271848950858556e-25,8.397792386918787e-12,6202965.806203373,56806.16229985205,1.884888213293712e-14,3.169482294489702e-25,1.0339351285947412e-11
521,83.42271947450782,760.2808612523706,112.47851414320598,41.80072907040478,0.4013008835062085,455.899517645792,30.215189682868843,0.0,2152055.5731781237,13888472.63531464,1.2760475655720774e-14,6.2966646111605374e-30,1.0350102341445989e-11,4593074.79713913,13863797.714552686,1.3193037516664796e-14,1.3919088808735224e-29,2.006772614836316e-11,7534699.341666013,13819951.981658673,1.3344137150205851e-14,2.3168322703475978e-29,2.3365869575812476e-11,11102042.569685953,13755636.862070888,1.332770519261632e-14,3.425486553918525e-29,2.5649701365713372e-11
522,28.68803022266521,986.9202910334948,157.15270982048798,21.760872905838557,0.4727197789135252,277.7943510196829,25.809141411510737,0.0,11776346.971303156,727210.572810409,6.1788434167078375e-15,3.173972696328239e-27,6.096635393096803e-12,30574334.97791857,724554.4535526484,6.793493399685294e-15,9.09336734001232e-27,6.471573457106157e-12,57807301.090439446,720757.9476689504,6.765747208011347e-15,1.721292232189806e-26,6.702330765630382e-12,93006972.20400007,716236.7242230978,6.738198697712666e-15,2.775545319532684e-26,6.91435147958296e-12
523,159.19806560789593,606.0425157005773,150.2394641132293,27.10221203804196,5.817807701463719,108.35885027257534,2.7473175832408185,948247571.2890948,2009208.1700907014,1358039.961788277,2.5113213833894815e-14,4.710225982876989e-28,4.434587106634344e-12,4031927.767845893,1324220.052944397,2.5128020611127337e-14,9.699244918574956e-28,8.073543649238373e-12,6081494.37128037,1272249.9149534667,2.515049330320016e-14,1.5240929347133947e-27,1.0524753801725356e-11,8170902.13270991,1207612.619903203,2.5175618233997305e-14,2.159481926329117e-27,1.2915971032412736e-11
524,1089.0902665263663,549.876498351433,156.28391075243647,21.226686056189934,1.4803979294504592,573.2024439487182,14.307893718459562,546577908.5585384,230502.2215170769,13113695.76634228,1.604448991015118e-13,1.943882077277088e-31,2.986114274152271e-13,461048.8452500403,13108016.099314785,1.6044616282267586e-13,3.889853966702132e-31,1.6628125332099945e-12,691684.5541687156,13097931.748177877,1.6044295875834777e-13,5.840096275129605e-31,4.2795492123675855e-12,922454.0923618188,12396077.878459444,1.6046294115944966e-13,8.230556560969322e-31,6.915287238629002e-12
525,42.49592184000919,111.40334917666934,80.30781043538651,37.570347571134576,2.824652303346509,210.45211663816744,24.04778318023358,635280949.4127314,6637199.516376033,487404.8390033207,8.052860778086112e-16,9.47237730388618e-28,3.0994377393244234e-13,13298201.559727494,483514.8500160663,8.054133001957911e-16,1.9134435431908398e-27,8.807854287424532e-13,20006667.40224369,477232.4678778461,8.056579813644321e-16,2.9174891187328687e-27,1.6798066927777336e-12,26785979.430204626,468841.4553489126,8.060328874778007e-16,3.9778467644572966e-27,2.65685197170512e-12
526,419.4881521393783,857.4376731752543,196.330487650718,36.11346173177266,209.41094845384904,189.9762955438026,3.0193793108041342,980698377.8070854,711826.0597460566,48622.11881783064,1.245943668319869e-13,1.1987860202093762e-25,1.0758539136218236e-11,1425197.242451697,47380.1019666681,1.2460481536646314e-13,2.463298642894693e-25,1.570215798171429e-11,2141654.4200135143,45454.21309601781,1.246351373190804e-13,3.8593930101785696e-25,2.058941892813844e-11,2862729.367757389,42968.762059435925,1.2464925576215754e-13,5.457834982278681e-25,2.5476282104694558e-11
527,15.793713182855312,938.6086341029433,184.36383446477532,21.61661312496545,0.02475269167725,587.3586818277058,26.00065622736304,776163243.7706167,38308961.35438951,49079.25599966828,3.7692509255653586e-15,1.6123327276197394e-26,3.1736216709966653e-12,95835728.63030413,44359.53173137368,4.130842137432933e-15,4.890759499132927e-26,3.523585739174556e-12,175500640.3707089,42168.796920215376,4.102302704158577e-15,9.356478211370692e-26,3.8727026738360646e-12,274151668.57634014,41130.78582646262,4.060790520693854e-15,1.4833091837430246e-25,4.2691815964282175e-12
528,142.13589886130706,435.1582759329294,144.3500560951126,42.58884164797188,25.734030424960736,503.995871480593,0.0,791675122.1678532,2101142.9228079524,156677.6541526296,1.6871690498874283e-14,1.591661302969243e-26,1.7948304757276308e-12,4212156.978082712,154365.3024202113,1.687777725915593e-14,3.239765933909034e-26,4.992234440414773e-12,6342829.633876769,150699.2568672967,1.688452496536406e-14,4.999243675827532e-26,8.769350920304779e-12,8502784.327042408,146151.73442118117,1.689615796014143e-14,6.914944109541883e-26,1.0779758790201246e-11
530,394.8167841433341,488.3023159912203,160.55054895433898,15.578903935727334,4.709104646254358,528.5510477684662,27.12451938171984,904411268.743027,768107.6500544775,1810933.9227621497,5.1275824990797815e-14,3.6284617141082e-29,1.9307145706837717e-12,1536829.1912430984,1804644.0905083483,5.1282330859968626e-14,7.286050812414805e-29,5.479067507498078e-12,2306779.0781358774,1794223.0829555553,5.1278300687245984e-14,1.0999009845028943e-28,1.0328743669114766e-11,3078571.7756809145,1781406.283207377,5.1280046069288255e-14,1.4785128802176244e-28,1.3041075800669674e-11
531,641.293973513922,756.9670111054628,186.19612161333887,24.470388608252744,3.4149411974321318,137.09600598198872,0.0,442254208.9623361,365248.9629620838,969083.3076704592,1.5344964618449234e-13,2.652198080670508e-29,2.3888450289197454e-12,730940.3509159161,966698.7795817896,1.5346641000534462e-13,5.321282154398344e-29,6.8522223982762455e-12,1097517.40919277,962716.702069406,1.5345975905865337e-13,8.022682587648091e-29,1.3115106622278228e-11,1465422.3794675753,880927.3315891008,1.534906041780341e-13,1.1708916721604447e-28,2.0789364722419275e-11
532,231.26139285239427,581.200166416852,113.9969219613134,38.99584313377881,0.615857154630853,414.2168019401054,34.420599063526595,212701197.6491148,887755.7592161614,1642763.9330034007,2.972302075867825e-14,1.0214762537266512e-29,2.1927456979332297e-12,1781472.1789108284,1634118.507502157,2.974017035683456e-14,2.061844643123443e-29,6.2537036017237474e-12,2687038.3668029686,1620164.191678139,2.9766551154932084e-14,3.1394989939140126e-29,1.1719124120745411e-11,3610204.392425547,1603144.3969405207,2.979584815879764e-14,4.2670908783301085e-29,1.8142142852362938e-11
533,16.544704989372146,756.4169332692848,147.96623902411145,23.043593094722176,0.339540417245627,233.12480422343023,27.861104019958653,0.0,25808964.62237202,141206.79712402966,2.59810169358748e-15,3.253028159447025e-26,3.718438030141335e-12,67790204.94394542,141068.7037101153,2.8656250113417444e-15,9.433488560551676e-26,3.9147146155897714e-12,128194910.11621742,140884.2155073988,2.845826257684546e-15,1.773917928909998e-25,4.067289072781754e-12,205044634.10458565,140051.05201576778,2.828378472412249e-15,2.8367185780856365e-25,4.245291694486329e-12
534,64.46800465156032,317.39457861633053,214.5097696643704,16.343483779257113,0.0756701455865177,310.94392445297086,36.42527154603091,586093765.4806994,4124810.6542199976,208971946.55425063,6.881754280687463e-15,1.3658234891806535e-31,1.4873044410367429e-12,8323678.941456419,199485966.84100276,6.8981439933217566e-15,2.8941071920311994e-31,3.1479668909018665e-12,12667934.19570995,185841417.50269976,6.9214323363996496e-15,4.743934164772953e-31,4.042771237528941e-12,17223884.70879405,157187280.4332977,6.9416214323310216e-15,7.648108165228147e-31,4.872546152168808e-12
535,111.40338146954352,468.7872132635598,128.51279945066187,22.513361277466384,0.0312731219602364,162.25144156367202,0.0,398697697.3840883,2133985.842320162,145137301.8389367,1.13997246448038e-14,2.3325159159176726e-32,3.009101930672213e-13,4301139.259605406,141200002.1803961,1.1421492549414214e-14,4.841605807938336e-32,1.7673606245577692e-12,6533591.165321008,229573730.32584465,1.1453260929362029e-14,4.5360380095529096e-32,5.308033699490042e-12,8861542.691114452,2465901.105793047,1.1481890425086863e-14,5.7420218729402926e-30,1.0971111830527646e-11
536,17.05362034398386,633.7368187645916,142.15466282849866,45.16197211825704,19.319601072308405,425.9329315453744,0.0,637613801.0610143,25338228.08438672,413329.9642450565,2.4876273373022285e-15,5.5946499617223675e-25,4.054230366679591e-12,60431065.155376166,327978.5520496421,2.686509404126773e-15,1.8159814921753976e-24,4.602131641178705e-12,108631433.75570324,272247.76010946406,2.6870149910243893e-15,3.9334128618498646e-24,4.9349571877428084e-12,169842920.70016128,234498.39285646268,2.6687025643966304e-15,7.091139022321573e-24,5.1992168765972025e-12
537,254.59194517538396,684.5321868221802,188.25391171363023,10.795604231302423,19.282116862745426,505.43622914436816,18.34614809582779,0.0,502120.42929216975,93516.41713002344,5.0271244897239085e-14,4.434537565587411e-27,9.028352611044931e-12,1016318.2899465335,93511.14641064825,5.045785209531104e-14,9.009564226535228e-27,1.4192008589627316e-11,1554092.7584702573,93499.21677279082,5.0693369277869535e-14,1.384295436376378e-26,1.8122894513394902e-11,2125912.234610232,93479.3341290601,5.0883138931254587e-14,1.9011320437004182e-26,2.167088821662757e-11
538,1014.877199655093,687.8733088978647,217.69291155935744,44.15268663861231,48.98835787669944,103.3236777264659,33.29043303881204,0.0,126062.42730595355,26105.95722061005,2.7214607188662164e-13,3.4518926230925816e-27,9.636369188903929e-13,252289.38716557168,26106.19793442845,2.721707793025717e-13,6.908854024610728e-27,2.796827360071227e-12,378845.93485292356,26106.4446679115,2.7217073560337564e-13,1.0374459797021052e-26,5.4783481270081616e-12,505896.6271454236,26106.57804722919,2.722045072630514e-13,1.3855312028090074e-26,8.967420888757446e-12
539,394.94847010963673,568.2535371261216,173.4968146984904,11.964234382283191,28.223091489116683,122.6760677485532,0.0,343760189.67992085,529732.2957034062,178654.6767543795,6.263950677136011e-14,1.8559119868099795e-27,3.704135663980678e-12,1060713.9810163486,177857.71565532172,6.264491159901358e-14,3.73317517976069e-27,9.95810271939998e-12,1594190.023912004,176549.3351777475,6.266172388766714e-14,5.6538375391394416e-27,1.3080189163061764e-11,2131399.031296453,174434.3848389702,6.267449429618536e-14,7.652273616646179e-27,1.6203001339542765e-11
540,201.76315187474643,836.4217513297649,96.94478269768128,13.532422996843067,0.201036986825235,181.48142089561992,11.63946636945188,0.0,720104.8331909091,7376092.090687712,2.622158622342617e-14,6.981743486196506e-31,7.996743206199308e-13,1471767.1708617853,7375430.9985092385,2.6451813882188352e-14,1.4396028520252669e-30,4.757909012757949e-12,2283684.5745670437,7375075.19424823,2.667070919650588e-14,2.252370148730238e-30,1.4675164272450822e-11,3179914.9652276235,7370793.038187502,2.6767704306098124e-14,3.1495459493834438e-30,3.4043380315585307e-11
541,20.65154105210316,630.0099498294803,165.6650938451257,11.444630931026197,21.1081201037139,357.0872158300996,0.0,983865012.6386756,21015353.544144288,1269397.1137148235,2.955333784301604e-15,1.337314745606564e-25,2.5651674250526938e-12,48179591.62591349,827023.3168226299,3.1533792612020774e-15,5.021222523273968e-25,3.0352919471636146e-12,84322120.18153343,575006.731439293,3.166904203881288e-15,1.2693793124290674e-24,3.3240863110394883e-12,129995127.04816045,430099.02428840654,3.1488465579741016e-15,2.6013453626964554e-24,3.532222736412169e-12
542,12.508672635538158,834.8831440651903,147.854805825901,22.57381371063728,0.069613131955826,461.2822349219941,29.886309697284204,229396309.35374,49018823.025243424,25052.83264197354,2.1693848782717403e-15,1.042928762290778e-25,2.9837186516660106e-12,126745724.02269574,24348.297351137306,2.395227331461449e-15,3.0635392754474137e-25,3.2250768130379295e-12,235037268.01731458,24026.29434223521,2.370066379087416e-15,5.69668808473762e-25,3.49746370510498e-12,345318191.47490567,23220.746652468544,8.78351526002953e-16,3.209398400349974e-25,5.651588362937598e-12
543,21.96377516704605,698.4770117446717,206.6180528307713,22.525217720157134,0.0669237525013556,560.5195364217808,24.790432876184116,0.0,14483789.020443222,597720.1236816035,4.303998125050752e-15,7.990352988123016e-28,3.653122167326324e-12,37493140.476888604,597252.5288651921,4.72656869892063e-15,2.273261391160691e-27,3.965930446094717e-12,70861225.9699553,596584.9510804673,4.707407095610987e-15,4.283785387117179e-27,4.214494738298137e-12,114129307.93333563,595884.4178601102,4.686948281541426e-15,6.877568043061818e-27,4.422160702576536e-12
544,26.50430626326904,838.6820091780886,189.00924976281837,47.46211138232541,1.7022010331475177,324.56578286588143,12.920517214442748,0.0,11874003.7966294,700012.2425190778,6.359337439914427e-15,1.4435261623465707e-26,6.142046091185245e-12,30359814.173379686,688745.3616946372,6.969016007706607e-15,4.1108641509675657e-26,6.602916683596043e-12,57014617.18298382,672887.6718615658,6.946281049746688e-15,7.87620902767446e-26,6.8854103280671615e-12,91536823.6291367,651433.2128259802,6.9159494289716165e-15,1.3004659672621338e-25,7.139911463282456e-12
545,27.676760344650685,345.8135146755676,210.26170478055653,34.81489152336249,12.341556255999164,522.0089753371049,36.91199753708664,0.0,6578662.035120807,1655872.5103602556,2.981493565858756e-15,1.0539675770137336e-26,3.364561560228577e-12,14996933.260444613,1556940.00754818,3.168996194371656e-15,2.716032689738656e-26,4.021337515066753e-12,26221215.60808105,1418222.5240658391,3.189258842697765e-15,5.246635654721535e-26,4.415474771836789e-12,40591385.79520438,1263529.5988528682,3.175461901537077e-15,9.076910638648692e-26,4.672525898287509e-12
546,171.83578599018622,902.708500463329,162.50581094951258,38.746272391471535,8.140586396810994,446.73115949042153,0.0,393565572.6769775,1409109.0249454733,909579.813779099,4.4389409132449544e-14,1.0470197731300562e-27,8.947312273354911e-12,2850732.438960668,879155.8210288428,4.4547903371137166e-14,2.199325993118225e-27,1.6826107463534418e-11,4355826.809465987,835435.8546414191,4.474852817937057e-14,3.552286500753043e-27,2.148622688989451e-11,5952553.439333586,785700.3682262364,4.4916567601447426e-14,5.1811318450965785e-27,2.5706178733051532e-11
547,540.5111977748804,267.33208970810887,145.49979140056072,12.44209339678091,28.799554562272064,196.59982042747797,0.0,850806130.6108055,539152.9756475344,2210616.033568809,3.4679039293689374e-14,4.604531008170533e-29,4.87576170077152e-13,1078382.651172196,2209110.2664289097,3.4679002247740745e-14,9.215984711529231e-29,1.3408087805489969e-12,1617764.6200493143,2206646.4368330045,3.46782521467957e-14,1.3840743919264602e-28,2.546719556001655e-12,2157375.581089752,2224066.0721170604,3.4682059069310946e-14,1.8314817717308167e-28,4.093729016009027e-12
548,56.81301458014714,64.21671456312009,151.69751368692255,48.152732293282526,0.645924707318551,543.0298176377946,20.86373867231893,279498226.3459191,3727420.9975323253,1440106.3778187989,1.073398918262648e-15,3.0704676752334144e-29,2.3423159357195706e-13,7459481.668244999,1438101.1111347126,1.073435839341811e-15,6.153537097044684e-29,6.622391496603463e-13,11200819.008716721,1434775.1401725304,1.0732860018140614e-15,9.259998244333516e-29,1.2757772465075902e-12,14956067.308845114,1431167.5864711537,1.0732998402643796e-15,1.239588352495249e-28,2.0647790609472506e-12
549,317.13379240562193,529.5941659012941,220.6244352498676,33.11883613799426,17.122730797991796,494.6360838374156,32.838434374607765,762300439.449617,901155.0781504782,209987.85935406332,6.371382804507683e-14,2.570811937424408e-27,1.7374437382405329e-12,1803759.2565985199,208790.28618190292,6.371918025509843e-14,5.175707492360324e-27,4.948852633206328e-12,2709259.2786080595,206828.85770597705,6.372410787261823e-14,7.848279495218661e-27,9.375050646052382e-12,3619097.349342498,203979.6151047897,6.37289572346763e-14,1.0631182424075536e-26,1.2974959750397139e-11
550,1183.5509452292508,871.617663166784,200.68298020305303,49.60995786627544,0.0363900187846513,495.9355095899566,0.0,232793256.8213344,169278.282158863,47427449.16481932,3.839861651102678e-13,1.9662498099795948e-33,1.7819560878563608e-14,338659.6239081725,47572896.82973672,3.840216265433618e-13,3.922032133833352e-33,1.0267702405880558e-13,508247.8122281274,41348370.773327984,3.8401254056221e-13,6.771956561436121e-33,3.0169311525932213e-13,678143.7427428166,5386929.652997583,3.83979057416088e-13,6.934890904252882e-32,6.630118503658889e-13
551,148.84103360638397,842.1109820863105,150.20560371075905,44.02861875289889,20.54078289625101,264.7301520692288,0.0,578897889.1468515,1847633.2507222493,459098.1672828727,3.458482293181784e-14,7.127064327698056e-27,8.255216292638167e-12,3732246.4776965035,440255.98343858647,3.468682550925303e-14,1.5057210338934437e-26,1.526764748099516e-11,5689271.775025922,413486.0251784608,3.4827393628269226e-14,2.4537580120565627e-26,1.957059345458891e-11,7751321.856157904,383366.5358864856,3.4945351949162335e-14,3.61797782295291e-26,2.350856037210653e-11
552,34.74177187340129,735.3885526218627,138.1428744755267,12.327200060746582,12.326912499751469,341.65311781769685,26.146431567294776,393657050.9147121,8799945.73437859,3917554.593190184,4.920735492599372e-15,6.234313195069112e-27,4.621746080161484e-12,20152453.759358596,2925500.7095826045,5.243630194834085e-15,2.0372927511934792e-26,5.485176938316399e-12,35317537.943066575,2221145.661488852,5.275537345805817e-15,4.731226510766031e-26,5.993473641995075e-12,54654360.79235708,1751291.926017786,5.252224974391304e-15,9.244922038677149e-26,6.323247998750423e-12
553,734.8214794466504,845.1092896042672,146.15080101265767,15.558318493073775,2.101096586494534,339.68075401887216,10.126325777523665,672886038.6021715,368295.6293236444,3433508.277049757,1.5140181365653794e-13,3.4899174146030676e-30,1.7757922081510193e-12,736911.6075441213,3423928.272249259,1.5142400690291724e-13,7.003434631305877e-30,1.0374260738308346e-11,1106166.8484369207,3408114.853185466,1.5140825318094953e-13,1.0560429254930033e-29,2.4421707304803982e-11,1476381.2452558905,3414435.1366686905,1.5142121055468142e-13,1.4069931159996199e-29,3.391326822335309e-11
554,120.78833208226882,305.1576437422128,150.3103228172602,47.3282127513646,0.0398337260343639,590.0321450909371,0.0,262169134.37055337,1766459.5876166124,36227400.16393879,1.0561672553965067e-14,7.765036013164809e-32,1.8409708707820145e-13,3544108.059062703,35891633.75946703,1.05670992268924e-14,1.573307998025273e-31,1.0777566140403677e-12,5344007.708245577,34626418.368655115,1.0574453197457672e-14,2.460716949508502e-31,3.203621121457813e-12,7176975.623530687,1299558.1240618052,1.0583618126122691e-14,8.813007942433985e-30,2.1964059283163884e-12
555,43.62874033483565,337.9543192562256,96.42712041357446,45.901840309795446,13.426528126869282,560.185003520777,37.25402457467269,946644949.7926868,7779429.785649026,960958.8374068044,2.928218228340779e-15,9.234387014778035e-27,2.761252981375311e-12,15735950.695291918,902415.433978489,2.938521984242742e-15,1.9960759765370904e-26,4.879146945971962e-12,24037832.65777912,823419.464413353,2.9514657032897758e-15,3.356398910553801e-26,6.2237427290734496e-12,32837499.614380494,734517.8314516144,2.962219432262732e-15,5.15877534769362e-26,7.444893374162083e-12
556,45.72431795078034,480.5315583643853,97.36539922620072,16.414102725316997,1.4915133332131136,301.3488124085884,31.6983889795774,0.0,3813391.329510309,4983557.3906660015,3.2315923614961604e-15,9.742365656353067e-29,6.157648447166289e-12,8439049.577214979,4962887.869274583,3.3980323400161094e-15,2.276473112432682e-28,7.620628430490649e-12,14373687.81367245,4925602.504525258,3.428891550107917e-15,3.942198950657053e-28,8.548011498330095e-12,21840666.940183222,4872563.907282056,3.4195896898927627e-15,6.038906329095607e-28,9.147606867388844e-12
557,72.16608502635366,240.81909148894732,147.58755305034032,47.61881299077702,0.2513320214629805,143.054048883306,26.408344468102637,494643778.5959073,3570412.838071365,12714466.948779456,4.902045154623334e-15,3.668786104840285e-30,7.660094982443711e-13,7167786.605592052,12537865.900597371,4.905055306715924e-15,7.473605376229799e-30,2.145642641906275e-12,10818698.076435512,12260908.69476786,4.910140149828864e-15,1.1547049772698763e-29,3.989968123112352e-12,14548980.51159761,11954949.910068013,4.915595327425288e-15,1.5943575804477273e-29,6.124566040716133e-12
559,293.0733187732673,875.4033706470466,96.4460508972458,38.64425212611188,0.171141489137639,131.56847510481313,16.161286094452883,883878912.5873002,1086270.6866697867,14461082.899746517,5.0254237758857396e-14,4.153899169760272e-31,1.2321973447376729e-12,2176600.556805599,14298825.968650471,5.026525900075594e-14,8.419616221235251e-31,7.188555165950247e-12,3275021.434108811,14039591.373997748,5.028414424250792e-14,1.2907340242979398e-30,2.131660161024099e-11,4385513.014542556,13861660.395025533,5.031412112745653e-14,1.7516246831286768e-30,4.3074582411222135e-11
